"","Species","SVL","PCI_limbs","PCII_head","PCIII_padwidth_vs_tail","PCIV_lamella_num","Awesomeness","hostility","attitude","ecomorph","Island","SVLlog"
"1","ahli",1.39602819403412,-3.248285995,0.372251911,-1.042218702,-2.414742281,0.241651698,-0.173476906,0.644377078,"TG","Cuba",1.39602819403412
"2","alayoni",1.3391253968205,3.40888624,-1.783358496,2.208451038,0.949696895,0.259032167,0.127344278,0.295973248,"TW","Cuba",1.3391253968205
"3","alfaroi",1.26034971592254,2.581759215,0.778763353,-2.446333665,0.700366081,0.462062012,0.178370302,-0.019589154,"GB","Cuba",1.26034971592254
"4","aliniger",1.3953919864438,0.123238978,-1.674670408,2.38713356,0.584864307,NA,0.144815367,0.293764324,"TC","Hispaniola",1.3953919864438
"5","allisoni",1.47599567652071,2.035979665,-3.742528151,0.520370284,2.055651718,0.13230987,0.464556617,-0.54956842,"TC","Cuba",1.47599567652071
"6","allogus",1.39627895920771,-2.845570205,0.600113413,-1.025305597,-2.463311064,0.624468879,-0.500096224,0.712891039,"TG","Cuba",1.39627895920771
"7","altitudinalis",1.34625185933081,2.867514691,-6.128050465,2.333119617,0.681954981,1.164592168,-0.86546226,0.63326685,"TC","Cuba",1.34625185933081
"8","alumina",1.27785709545064,0.72166993,1.525144436,-2.672166881,1.2348795,1.253724344,1.308419442,-0.961108949,"GB","Hispaniola",1.27785709545064
"9","alutaceus",1.26832434942208,1.173389987,-0.614938131,-1.653988306,1.411602279,0.325807029,-0.523648505,0.504051566,"GB","Cuba",1.26832434942208
"10","angusticeps",1.33199536940959,4.587110714,-1.976738307,1.159467074,0.388356872,NA,-1.884387903,0.924717522,"TW","Cuba",1.33199536940959
"11","argenteolus",1.37909535106762,-2.927973278,2.619644934,0.979172726,2.941942272,0.490363636,-0.505416684,-0.202546511,"U","Cuba",1.37909535106762
"12","argillaceus",1.32385203928728,-0.113078509,-1.489443742,2.371081539,0.332641418,0.007554828,-0.259421287,-0.625599119,"U","Cuba",1.32385203928728
"13","armouri",1.41626183591139,-3.169935977,-4.086204405,-0.88832086,-2.021299091,0.158605136,-0.369246555,-0.26866597,"TG","Hispaniola",1.41626183591139
"14","bahorucoensis",1.3421974863303,-0.047473321,-2.556947237,-3.089694876,1.562718774,2.553879072,-2.337986521,2.470751171,"GB","Hispaniola",1.3421974863303
"15","baleatus",1.61999321075259,0.737664948,1.796460281,-0.540951617,-0.162205464,2.727286255,-2.487661729,2.784776159,"CG","Hispaniola",1.61999321075259
"16","baracoae",1.61795746714577,0.768173923,0.069871275,0.180589139,2.663091341,1.821981086,-1.522244645,2.175915113,"CG","Cuba",1.61795746714577
"17","barahonae",1.6247122509201,0.907310396,2.332223415,-0.615846425,-0.1947378,1.8313709,-1.331616706,1.706268537,"CG","Hispaniola",1.6247122509201
"18","barbatus",1.61022686233127,2.250202286,-3.308181723,1.347639007,-1.647804555,2.15628754,-2.094147109,1.971965978,"U","Cuba",1.61022686233127
"19","barbouri",1.2985368734953,-0.875362369,1.340094336,-2.613824516,-4.301471854,NA,-0.913725183,0.640252721,"U","Hispaniola",1.2985368734953
"20","bartschi",1.45408091403041,-3.255021682,0.805656517,1.123428792,1.749437033,1.189744988,1.025075387,0.259946248,"U","Cuba",1.45408091403041
"21","bremeri",1.41424282474346,-1.81361138,2.606750118,0.639931952,-1.626299388,1.754300558,1.412718374,0.183234499,"TG","Cuba",1.41424282474346
"22","breslini",1.39899111709257,-2.974975292,-3.341533754,-1.897824877,-2.167187059,1.944082859,2.147925602,-2.074650462,"TG","Hispaniola",1.39899111709257
"23","brevirostris",1.35432756857288,-3.28900081,1.384254882,2.407075589,-0.826669905,1.538338585,1.63353366,-1.242478949,"T","Hispaniola",1.35432756857288
"24","caudalis",1.36398304602624,-1.782708393,1.908707756,1.753096572,-1.443788779,0.601304152,0.21650095,0.851820031,"T","Hispaniola",1.36398304602624
"25","centralis",1.30777623586724,0.730738763,-0.416835974,1.758647687,-1.13869021,0.620236225,0.330225203,-0.717773581,"U","Cuba",1.30777623586724
"26","chamaeleonides",1.61787209848077,2.955974282,-3.692318891,1.329730376,-1.51973745,1.19399376,1.858148718,-1.433087428,"U","Cuba",1.61787209848077
"27","chlorocyanus",1.45288890555165,0.439063427,1.354034499,1.953146989,1.805124933,NA,0.920097708,-0.937217348,"TC","Hispaniola",1.45288890555165
"28","christophei",1.35703335535008,-2.705963321,1.705275586,-0.172592116,0.646933364,NA,0.220410336,1.465474826,"U","Hispaniola",1.35703335535008
"29","clivicola",1.32408010425288,-1.051144207,-0.589033928,-1.217804221,-0.558659984,0.340444764,-0.599034616,1.789691465,"GB","Cuba",1.32408010425288
"30","coelestinus",1.45814175886739,-0.027216832,0.368753686,1.636431575,1.025717625,0.290926638,-0.620965953,1.280333497,"TC","Hispaniola",1.45814175886739
"31","confusus",1.37078530224784,-2.495917316,0.16823269,0.155128975,-1.39796407,0.496114209,-0.544543392,1.360106311,"TG","Cuba",1.37078530224784
"32","cooki",1.40892022091069,-2.22079009,0.059798495,-0.10926468,-0.508269318,1.277956446,-1.082760383,1.377218698,"TG","Puerto Rico",1.40892022091069
"33","cristatellus",1.43265777788018,-3.330263311,-0.622251891,1.217530949,-1.218197026,0.830658098,-0.007447027,0.390612322,"TG","Puerto Rico",1.43265777788018
"34","cupeyalensis",1.24185041572943,2.724196984,0.48960424,-2.479527073,-0.032970349,1.327984163,-0.994951781,0.04668455,"GB","Cuba",1.24185041572943
"35","cuvieri",1.5841225493699,-1.189551236,-0.719833643,-1.016734022,-0.021530732,0.11591712,0.281153377,-0.978766627,"CG","Puerto Rico",1.5841225493699
"36","cyanopleurus",1.28927700018576,0.433285104,0.989301,-2.818999712,0.871769305,0.413447859,0.073949884,-0.506549254,"GB","Cuba",1.28927700018576
"37","cybotes",1.4376959128849,-3.116379223,-2.99620854,-0.829905679,-2.090494641,0.905454434,-0.262630999,0.684678636,"TG","Hispaniola",1.4376959128849
"38","darlingtoni",1.45908840110339,4.067031705,-1.49378979,-0.200225929,0.311380865,1.718720076,-1.690079016,1.021456747,"TW","Hispaniola",1.45908840110339
"39","distichus",1.36833297613126,-3.843433427,0.838907486,2.492216951,-1.039725065,1.973200862,-1.608003643,0.914614999,"T","Hispaniola",1.36833297613126
"40","dolichocephalus",1.36316654207626,2.60131528,-2.595307699,-4.143932667,3.670234019,0.739483022,-0.989799476,1.091913655,"GB","Hispaniola",1.36316654207626
"41","equestris",1.63198066587882,1.054615168,0.707203874,0.710804587,1.660431935,1.08056618,-1.266611407,0.667302603,"CG","Cuba",1.63198066587882
"42","etheridgei",1.29691398052852,-3.810659552,-0.753409,-2.065920077,-0.748908659,0.848149691,-0.960258609,0.18291181,"U","Hispaniola",1.29691398052852
"43","eugenegrahami",1.41791521402822,-4.212091396,4.833519555,1.0228151,1.665392784,2.155800992,-2.494661307,1.11438687,"U","Hispaniola",1.41791521402822
"44","evermanni",1.42686157862724,-2.528992449,0.12548098,1.882463297,1.923920863,1.871367582,-2.029729624,1.028775113,"TC","Puerto Rico",1.42686157862724
"45","fowleri",1.45600229831974,-1.036670025,1.503837622,-1.758925109,-1.719141106,1.456935239,-1.448418148,0.07531334,"U","Hispaniola",1.45600229831974
"46","garmani",1.56223586630737,-0.773526403,0.937124945,0.259499356,0.105114948,NA,0.676756002,-0.694600797,"CG","Puerto Rico",1.56223586630737
"47","grahami",1.42413774758833,-2.305653544,-1.913936885,1.685257905,1.014419261,0.410642801,-0.117462571,0.702295893,"TC","Puerto Rico",1.42413774758833
"48","guafe",1.3551796398639,-2.614087098,0.65608676,0.6071245,-1.482208339,0.13914555,-0.310434629,-0.504806103,"TG","Cuba",1.3551796398639
"49","guamuhaya",1.61680125675299,3.109473958,-4.079734234,-0.182028702,-0.107489301,0.137962568,0.119982369,0.042039866,"U","Cuba",1.61680125675299
"50","guazuma",1.32545136311736,8.165665057,-0.606058649,1.759740809,1.551025088,0.0151975,-0.020516523,0.086780213,"TW","Cuba",1.32545136311736
"51","gundlachi",1.43224829747123,-2.64936274,-0.562516042,-2.285226483,-2.484205186,0.426336538,0.613014449,-0.693182616,"TG","Puerto Rico",1.43224829747123
"52","haetianus",1.4624546678649,-3.404029253,-3.784446643,-1.779834352,-2.203790125,NA,-0.969190196,0.74101761,"TG","Hispaniola",1.4624546678649
"53","hendersoni",1.35062432608169,1.289630445,-2.06309845,-3.465653547,2.58336718,0.385454354,-0.713316425,-0.395979203,"GB","Hispaniola",1.35062432608169
"54","homolechis",1.39446240687386,-2.744993462,0.879260091,0.867969375,-1.566658216,0.085375433,0.092602997,-0.081309035,"TG","Cuba",1.39446240687386
"55","imias",1.41091072860856,-3.048917245,2.332034882,0.16164422,-2.112605855,0.169425977,-0.410812337,0.196358003,"TG","Cuba",1.41091072860856
"56","inexpectatus",1.26340291751857,2.506072437,-0.523403665,-2.805744857,1.680361143,0.24466655,-0.307162858,0.069372862,"GB","Cuba",1.26340291751857
"57","insolitus",1.33512488011978,5.030626705,0.241376694,0.913970702,-0.420752446,0.066715596,-0.290651288,0.072862399,"TW","Hispaniola",1.33512488011978
"58","isolepis",1.29666713231665,3.056976417,-4.340183729,2.440924804,-0.074187788,0.194644197,0.001671326,0.162646592,"TC","Cuba",1.29666713231665
"59","jubar",1.3743748478766,-2.22414593,0.944899848,0.660071599,-1.657495487,2.1455822,-0.993730897,1.05775273,"TG","Cuba",1.3743748478766
"60","krugi",1.35750902203858,-1.688795326,-0.83128181,-1.258889189,0.240299126,0.972494741,-0.371866585,1.461094697,"GB","Puerto Rico",1.35750902203858
"61","lineatopus",1.41794122165543,-2.430812911,-3.125523903,-1.756449534,-1.439523032,0.800931449,0.170290172,0.335557135,"TG","Jamaica",1.41794122165543
"62","longitibialis",1.44505923797632,-3.522430476,-1.616704389,-1.618284477,-2.67106616,2.537213358,-1.420542767,1.715629438,"TG","Hispaniola",1.44505923797632
"63","loysiana",1.30866796456393,0.315369514,-1.080381455,2.744207388,-0.526576873,NA,-1.198967281,1.514224556,"T","Cuba",1.30866796456393
"64","lucius",1.4348261028535,-4.381398032,1.259811232,2.189960413,1.75435972,0.126135253,0.545903248,-0.585057824,"U","Cuba",1.4348261028535
"65","luteogularis",1.62945330082052,0.396142541,0.735844354,1.005854587,1.980435766,0.194610912,0.713343825,-0.562221096,"CG","Cuba",1.62945330082052
"66","macilentus",1.31258452050898,3.151773912,3.26626613,-3.72382928,1.218102182,0.868463721,-0.28788242,0.699463035,"GB","Cuba",1.31258452050898
"67","marcanoi",1.40597068117494,-2.844482428,-2.786441483,-0.802030267,-1.048428227,1.182343323,-0.167193617,0.582790036,"TG","Hispaniola",1.40597068117494
"68","marron",1.34333735027133,-2.847093412,-0.12032028,1.689810141,-1.570637764,2.149486418,2.413050748,-2.143782289,"T","Hispaniola",1.34333735027133
"69","mestrei",1.38307602382371,-2.602619065,1.27568612,0.464037935,-1.196663985,0.228920131,0.820920959,-0.739295641,"TG","Cuba",1.38307602382371
"70","monticola",1.3272375980547,-3.251180164,0.155993443,-2.239008161,0.131568273,0.628989307,0.146877669,-0.440977523,"U","Hispaniola",1.3272375980547
"71","noblei",1.62599461427223,-0.093379941,-0.960888514,0.890549172,2.094568799,0.97440659,1.602507741,-0.422288291,"CG","Cuba",1.62599461427223
"72","occultus",1.29829577718361,7.920784437,-0.190139683,2.492281866,-0.095779769,1.19168698,1.215301402,0.0324486,"TW","Puerto Rico",1.29829577718361
"73","olssoni",1.33339420800501,0.816826677,3.874428128,-2.433731025,0.62906887,1.391771586,1.21022186,-0.291868939,"GB","Hispaniola",1.33339420800501
"74","opalinus",1.34504948162347,-1.779437098,-0.324538122,1.556993878,0.936650134,1.483021624,-0.908266532,0.726134826,"TC","Jamaica",1.34504948162347
"75","ophiolepis",1.29142364271326,0.791511737,1.458576031,-1.315200493,-2.237751371,0.354418772,0.053661422,-0.093895299,"GB","Cuba",1.29142364271326
"76","oporinus",1.34694771133692,3.058882893,-2.915653425,2.287598931,-0.086599032,NA,-0.985921965,0.880252863,"TC","Cuba",1.34694771133692
"77","paternus",1.33578002747416,2.90637723,-0.958460932,0.949111531,1.801466603,0.299550789,0.846263466,-0.963110645,"TW","Cuba",1.33578002747416
"78","placidus",1.3281267312221,7.38332866,0.539589726,2.704298084,-0.317788777,0.078986096,0.504242392,-0.404363249,"TW","Hispaniola",1.3281267312221
"79","poncensis",1.34034924783982,0.527826638,1.240620347,-1.624976102,-0.949247272,0.289982852,0.510241609,-0.185439139,"GB","Puerto Rico",1.34034924783982
"80","porcatus",1.44903227518397,1.931932513,-3.829533048,0.978119428,2.885384794,0.07464666,0.148259194,-0.571784264,"TC","Cuba",1.44903227518397
"81","porcus",1.6170159798128,3.506145365,-2.986679642,0.750064697,-1.199092288,0.158971414,-0.350187677,0.459870648,"U","Cuba",1.6170159798128
"82","pulchellus",1.33474373520437,0.162381506,-2.338461029,-1.590671471,0.681808877,0.978157532,-0.810754596,1.392775293,"GB","Puerto Rico",1.33474373520437
"83","pumilis",1.24324936303521,0.554049458,-0.425841519,2.15725632,-1.122089541,0.459254083,-0.162682657,-0.476948194,"U","Cuba",1.24324936303521
"84","quadriocellifer",1.36139161365273,-2.267894,0.99092075,0.355340511,-2.105059223,NA,0.462708058,-0.271279441,"TG","Cuba",1.36139161365273
"85","reconditus",1.50020479548167,-2.727041558,-0.210406574,-2.353424153,-0.799290533,0.260965443,-0.271697917,0.013671426,"U","Jamaica",1.50020479548167
"86","ricordii",1.61222663712424,0.589404703,1.346704636,-0.862695621,0.035168024,0.456651495,0.663302028,-0.646258371,"CG","Hispaniola",1.61222663712424
"87","rubribarbus",1.40572172512145,-2.238348587,1.119977851,-1.192957233,-2.087432821,0.427757376,0.48004445,-0.967426338,"TG","Cuba",1.40572172512145
"88","sagrei",1.40294540189014,-1.741055466,2.022824313,0.169363482,-1.375769406,NA,0.719312962,-1.222827638,"TG","Cuba",1.40294540189014
"89","semilineatus",1.30742175232192,0.184032361,-0.138720215,-2.895722738,0.922805091,0.612226281,0.807322377,-0.829431606,"GB","Hispaniola",1.30742175232192
"90","sheplani",1.30370707167991,10.27389091,2.277844094,1.698174153,-0.259624317,0.431283305,0.321955192,-0.805532876,"TW","Hispaniola",1.30370707167991
"91","shrevei",1.38203611614997,-2.259526066,-3.557882352,-1.388434801,-2.190824872,0.257277082,0.029600473,0.394228848,"TG","Hispaniola",1.38203611614997
"92","singularis",1.40068962385784,0.363267887,-0.954228711,1.656215433,1.007569263,1.592083294,-1.70105266,1.45313446,"TC","Hispaniola",1.40068962385784
"93","smallwoodi",1.61643251149179,-0.137705273,-1.151404053,0.429643186,2.440674972,0.018317012,-0.36653114,1.591634408,"CG","Cuba",1.61643251149179
"94","strahmi",1.452613626572,-3.873403028,-1.016358362,-0.936669577,-1.578433904,0.340077411,-0.690011247,2.111357201,"TG","Hispaniola",1.452613626572
"95","stratulus",1.35322367840112,-1.622641647,-0.529574903,2.21669521,0.946222313,0.314853533,0.515229477,-0.408287159,"TC","Puerto Rico",1.35322367840112
"96","valencienni",1.46360821061368,2.942413885,-0.884600717,1.854330826,0.128823267,NA,0.465286788,-0.567548962,"TW","Jamaica",1.46360821061368
"97","vanidicus",1.28818688402503,4.044367599,1.087163196,-2.492119203,0.18942396,NA,1.02303768,-0.675917459,"GB","Cuba",1.28818688402503
"98","vermiculatus",1.5692093663718,0.227834668,1.41411087,-1.84674415,0.711734218,0.159291276,-0.024230945,-0.315755014,"U","Cuba",1.5692093663718
"99","websteri",1.36521016693757,-2.50870054,0.974827858,2.902443757,-1.532598793,0.025584758,0.12404445,0.117586419,"T","Hispaniola",1.36521016693757
"100","whitemani",1.41037179306203,-2.545849012,-3.259740239,-1.920070062,-2.419939281,1.457775289,1.096071557,-0.873933332,"TG","Hispaniola",1.41037179306203
