time,Row,column,strain,anabasine.conc,anabasine,time,sample,a620,a620.a,a620.b
0,A,1,control,0,0 ppm,0,A1,,,
0,B,1,control,0.5,0.5 ppm,0,B1,,,
0,C,1,control,5,5 ppm,0,C1,,,
0,D,1,control,50,50 ppm,0,D1,,,
0,E,1,control,0,0 ppm,0,E1,,,
0,F,1,control,0.5,0.5 ppm,0,F1,,,
0,G,1,control,5,5 ppm,0,G1,,,
0,H,1,control,50,50 ppm,0,H1,,,
0,A,2,control,0,0 ppm,0,A2,,,
0,B,2,control,0.5,0.5 ppm,0,B2,,,
0,C,2,control,5,5 ppm,0,C2,,,
0,D,2,control,50,50 ppm,0,D2,,,
0,E,2,control,0,0 ppm,0,E2,,,
0,F,2,control,0.5,0.5 ppm,0,F2,,,
0,G,2,control,5,5 ppm,0,G2,,,
0,H,2,control,50,50 ppm,0,H2,,,
0,A,3,control,0,0 ppm,0,A3,0.069,0.069,
0,B,3,control,0.5,0.5 ppm,0,B3,0.069,0.069,
0,C,3,twelve.six,0,0 ppm,0,C3,0.066,0.066,
0,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.065,0.065,
0,E,3,twelve.six,5,5 ppm,0,E3,0.068,0.068,
0,F,3,twelve.six,50,50 ppm,0,F3,0.063,0.063,
0,G,3,control,5,5 ppm,0,G3,0.069,0.069,
0,H,3,control,50,50 ppm,0,H3,0.066,0.066,
0,A,4,control,0,0 ppm,0,A4,0.067,0.067,
0,B,4,control,0.5,0.5 ppm,0,B4,0.073,0.073,
0,C,4,twelve.six,0,0 ppm,0,C4,0.065,0.065,
0,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.064,0.064,
0,E,4,twelve.six,5,5 ppm,0,E4,0.067,0.067,
0,F,4,twelve.six,50,50 ppm,0,F4,0.063,0.063,
0,G,4,control,5,5 ppm,0,G4,0.07,0.07,
0,H,4,control,50,50 ppm,0,H4,0.065,0.065,
0,A,5,control,0,0 ppm,0,A5,0.068,0.068,
0,B,5,control,0.5,0.5 ppm,0,B5,0.069,0.069,
0,C,5,twelve.six,0,0 ppm,0,C5,0.067,0.067,
0,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.065,0.065,
0,E,5,twelve.six,5,5 ppm,0,E5,0.067,0.067,
0,F,5,twelve.six,50,50 ppm,0,F5,0.065,0.065,
0,G,5,control,5,5 ppm,0,G5,0.068,0.068,
0,H,5,control,50,50 ppm,0,H5,0.065,0.065,
0,A,6,control,0,0 ppm,0,A6,0.067,0.067,
0,B,6,control,0.5,0.5 ppm,0,B6,0.067,0.067,
0,C,6,twelve.six,0,0 ppm,0,C6,0.066,0.066,
0,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.064,0.064,
0,E,6,twelve.six,5,5 ppm,0,E6,0.072,0.072,
0,F,6,twelve.six,50,50 ppm,0,F6,0.062,0.062,
0,G,6,control,5,5 ppm,0,G6,0.068,0.068,
0,H,6,control,50,50 ppm,0,H6,0.064,0.064,
0,A,7,control,0,0 ppm,0,A7,0.068,0.068,
0,B,7,control,0.5,0.5 ppm,0,B7,0.068,0.068,
0,C,7,twelve.six,0,0 ppm,0,C7,0.065,0.065,
0,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.067,0.067,
0,E,7,twelve.six,5,5 ppm,0,E7,0.068,0.068,
0,F,7,twelve.six,50,50 ppm,0,F7,0.063,0.063,
0,G,7,control,5,5 ppm,0,G7,0.068,0.068,
0,H,7,control,50,50 ppm,0,H7,0.064,0.064,
0,A,8,control,0,0 ppm,0,A8,0.068,0.068,
0,B,8,control,0.5,0.5 ppm,0,B8,0.073,0.073,
0,C,8,twelve.six,0,0 ppm,0,C8,0.07,0.07,
0,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.065,0.065,
0,E,8,twelve.six,5,5 ppm,0,E8,0.067,0.067,
0,F,8,twelve.six,50,50 ppm,0,F8,0.063,0.063,
0,G,8,control,5,5 ppm,0,G8,0.069,0.069,
0,H,8,control,50,50 ppm,0,H8,0.064,0.064,
0,A,9,control,0,0 ppm,0,A9,0.068,0.068,
0,B,9,control,0.5,0.5 ppm,0,B9,,0.09,
0,C,9,twelve.six,0,0 ppm,0,C9,0.068,0.068,
0,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.065,0.065,
0,E,9,twelve.six,5,5 ppm,0,E9,0.067,0.067,
0,F,9,twelve.six,50,50 ppm,0,F9,0.069,0.069,
0,G,9,control,5,5 ppm,0,G9,0.069,0.069,
0,H,9,control,50,50 ppm,0,H9,0.064,0.064,
0,A,10,control,0,0 ppm,0,A10,0.069,0.069,
0,B,10,control,0.5,0.5 ppm,0,B10,,0.037,
0,C,10,twelve.six,0,0 ppm,0,C10,0.067,0.067,
0,D,10,twelve.six,0.5,0.5 ppm,0,D10,0.065,0.065,
0,E,10,twelve.six,5,5 ppm,0,E10,0.071,0.071,
0,F,10,twelve.six,50,50 ppm,0,F10,0.068,0.068,
0,G,10,control,5,5 ppm,0,G10,0.069,0.069,
0,H,10,control,50,50 ppm,0,H10,0.066,0.066,
0,A,11,control,0,0 ppm,0,A11,,,
0,B,11,control,0.5,0.5 ppm,0,B11,,,
0,C,11,control,5,5 ppm,0,C11,,,
0,D,11,control,50,50 ppm,0,D11,,,
0,E,11,control,0,0 ppm,0,E11,,,
0,F,11,control,0.5,0.5 ppm,0,F11,,,
0,G,11,control,5,5 ppm,0,G11,,,
0,H,11,control,50,50 ppm,0,H11,,,
0,A,12,control,0,0 ppm,0,A12,,,
0,B,12,control,0.5,0.5 ppm,0,B12,,,
0,C,12,control,5,5 ppm,0,C12,,,
0,D,12,control,50,50 ppm,0,D12,,,
0,E,12,control,0,0 ppm,0,E12,,,
0,F,12,control,0.5,0.5 ppm,0,F12,,,
0,G,12,control,5,5 ppm,0,G12,,,
0,H,12,control,50,50 ppm,0,H12,,,
1,A,1,control,0,0 ppm,0,A1,,,
1,B,1,control,0.5,0.5 ppm,0,B1,,,
1,C,1,control,5,5 ppm,0,C1,,,
1,D,1,control,50,50 ppm,0,D1,,,
1,E,1,control,0,0 ppm,0,E1,,,
1,F,1,control,0.5,0.5 ppm,0,F1,,,
1,G,1,control,5,5 ppm,0,G1,,,
1,H,1,control,50,50 ppm,0,H1,,,
1,A,2,control,0,0 ppm,0,A2,,,
1,B,2,control,0.5,0.5 ppm,0,B2,,,
1,C,2,control,5,5 ppm,0,C2,,,
1,D,2,control,50,50 ppm,0,D2,,,
1,E,2,control,0,0 ppm,0,E2,,,
1,F,2,control,0.5,0.5 ppm,0,F2,,,
1,G,2,control,5,5 ppm,0,G2,,,
1,H,2,control,50,50 ppm,0,H2,,,
1,A,3,control,0,0 ppm,0,A3,0.061,0.061,
1,B,3,control,0.5,0.5 ppm,0,B3,,0.065,
1,C,3,twelve.six,0,0 ppm,0,C3,0.06,0.06,
1,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.065,0.065,
1,E,3,twelve.six,5,5 ppm,0,E3,0.064,0.064,
1,F,3,twelve.six,50,50 ppm,0,F3,0.063,0.063,
1,G,3,control,5,5 ppm,0,G3,0.064,0.064,
1,H,3,control,50,50 ppm,0,H3,0.065,0.065,
1,A,4,control,0,0 ppm,0,A4,0.061,0.061,
1,B,4,control,0.5,0.5 ppm,0,B4,0.071,0.071,
1,C,4,twelve.six,0,0 ppm,0,C4,0.062,0.062,
1,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.063,0.063,
1,E,4,twelve.six,5,5 ppm,0,E4,0.062,0.062,
1,F,4,twelve.six,50,50 ppm,0,F4,0.062,0.062,
1,G,4,control,5,5 ppm,0,G4,0.066,0.066,
1,H,4,control,50,50 ppm,0,H4,0.065,0.065,
1,A,5,control,0,0 ppm,0,A5,0.063,0.063,
1,B,5,control,0.5,0.5 ppm,0,B5,0.065,0.065,
1,C,5,twelve.six,0,0 ppm,0,C5,0.066,0.066,
1,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.062,0.062,
1,E,5,twelve.six,5,5 ppm,0,E5,0.066,0.066,
1,F,5,twelve.six,50,50 ppm,0,F5,0.065,0.065,
1,G,5,control,5,5 ppm,0,G5,0.063,0.063,
1,H,5,control,50,50 ppm,0,H5,0.06,0.06,
1,A,6,control,0,0 ppm,0,A6,0.063,0.063,
1,B,6,control,0.5,0.5 ppm,0,B6,0.063,0.063,
1,C,6,twelve.six,0,0 ppm,0,C6,0.063,0.063,
1,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.061,0.061,
1,E,6,twelve.six,5,5 ppm,0,E6,0.063,0.063,
1,F,6,twelve.six,50,50 ppm,0,F6,0.067,0.067,
1,G,6,control,5,5 ppm,0,G6,0.062,0.062,
1,H,6,control,50,50 ppm,0,H6,0.062,0.062,
1,A,7,control,0,0 ppm,0,A7,0.059,0.059,
1,B,7,control,0.5,0.5 ppm,0,B7,0.064,0.064,
1,C,7,twelve.six,0,0 ppm,0,C7,0.062,0.062,
1,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.061,0.061,
1,E,7,twelve.six,5,5 ppm,0,E7,0.062,0.062,
1,F,7,twelve.six,50,50 ppm,0,F7,0.06,0.06,
1,G,7,control,5,5 ppm,0,G7,0.062,0.062,
1,H,7,control,50,50 ppm,0,H7,0.062,0.062,
1,A,8,control,0,0 ppm,0,A8,0.065,0.065,
1,B,8,control,0.5,0.5 ppm,0,B8,0.067,0.067,
1,C,8,twelve.six,0,0 ppm,0,C8,0.062,0.062,
1,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.065,0.065,
1,E,8,twelve.six,5,5 ppm,0,E8,0.064,0.064,
1,F,8,twelve.six,50,50 ppm,0,F8,0.063,0.063,
1,G,8,control,5,5 ppm,0,G8,0.062,0.062,
1,H,8,control,50,50 ppm,0,H8,0.064,0.064,
1,A,9,control,0,0 ppm,0,A9,0.061,0.061,
1,B,9,control,0.5,0.5 ppm,0,B9,0.07,0.07,
1,C,9,twelve.six,0,0 ppm,0,C9,0.069,0.069,
1,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.065,0.065,
1,E,9,twelve.six,5,5 ppm,0,E9,0.065,0.065,
1,F,9,twelve.six,50,50 ppm,0,F9,0.061,0.061,
1,G,9,control,5,5 ppm,0,G9,0.065,0.065,
1,H,9,control,50,50 ppm,0,H9,0.06,0.06,
1,A,10,control,0,0 ppm,0,A10,0.061,0.061,
1,B,10,control,0.5,0.5 ppm,0,B10,,0.056,
1,C,10,twelve.six,0,0 ppm,0,C10,0.063,0.063,
1,D,10,twelve.six,0.5,0.5 ppm,0,D10,0.064,0.064,
1,E,10,twelve.six,5,5 ppm,0,E10,0.065,0.065,
1,F,10,twelve.six,50,50 ppm,0,F10,0.062,0.062,
1,G,10,control,5,5 ppm,0,G10,0.064,0.064,
1,H,10,control,50,50 ppm,0,H10,0.065,0.065,
1,A,11,control,0,0 ppm,0,A11,,,
1,B,11,control,0.5,0.5 ppm,0,B11,,,
1,C,11,control,5,5 ppm,0,C11,,,
1,D,11,control,50,50 ppm,0,D11,,,
1,E,11,control,0,0 ppm,0,E11,,,
1,F,11,control,0.5,0.5 ppm,0,F11,,,
1,G,11,control,5,5 ppm,0,G11,,,
1,H,11,control,50,50 ppm,0,H11,,,
1,A,12,control,0,0 ppm,0,A12,,,
1,B,12,control,0.5,0.5 ppm,0,B12,,,
1,C,12,control,5,5 ppm,0,C12,,,
1,D,12,control,50,50 ppm,0,D12,,,
1,E,12,control,0,0 ppm,0,E12,,,
1,F,12,control,0.5,0.5 ppm,0,F12,,,
1,G,12,control,5,5 ppm,0,G12,,,
1,H,12,control,50,50 ppm,0,H12,,,
2,A,1,control,0,0 ppm,0,A1,,,
2,B,1,control,0.5,0.5 ppm,0,B1,,,
2,C,1,control,5,5 ppm,0,C1,,,
2,D,1,control,50,50 ppm,0,D1,,,
2,E,1,control,0,0 ppm,0,E1,,,
2,F,1,control,0.5,0.5 ppm,0,F1,,,
2,G,1,control,5,5 ppm,0,G1,,,
2,H,1,control,50,50 ppm,0,H1,,,
2,A,2,control,0,0 ppm,0,A2,,,
2,B,2,control,0.5,0.5 ppm,0,B2,,,
2,C,2,control,5,5 ppm,0,C2,,,
2,D,2,control,50,50 ppm,0,D2,,,
2,E,2,control,0,0 ppm,0,E2,,,
2,F,2,control,0.5,0.5 ppm,0,F2,,,
2,G,2,control,5,5 ppm,0,G2,,,
2,H,2,control,50,50 ppm,0,H2,,,
2,A,3,control,0,0 ppm,0,A3,0.059,,
2,B,3,control,0.5,0.5 ppm,0,B3,,,
2,C,3,twelve.six,0,0 ppm,0,C3,0.063,,
2,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.067,,
2,E,3,twelve.six,5,5 ppm,0,E3,0.076,,
2,F,3,twelve.six,50,50 ppm,0,F3,0.067,,
2,G,3,control,5,5 ppm,0,G3,0.066,,
2,H,3,control,50,50 ppm,0,H3,0.063,,
2,A,4,control,0,0 ppm,0,A4,0.064,,
2,B,4,control,0.5,0.5 ppm,0,B4,0.066,,
2,C,4,twelve.six,0,0 ppm,0,C4,0.065,,
2,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.068,,
2,E,4,twelve.six,5,5 ppm,0,E4,0.066,,
2,F,4,twelve.six,50,50 ppm,0,F4,0.064,,
2,G,4,control,5,5 ppm,0,G4,0.067,,
2,H,4,control,50,50 ppm,0,H4,0.063,,
2,A,5,control,0,0 ppm,0,A5,0.063,,
2,B,5,control,0.5,0.5 ppm,0,B5,0.067,,
2,C,5,twelve.six,0,0 ppm,0,C5,0.069,,
2,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.066,,
2,E,5,twelve.six,5,5 ppm,0,E5,0.069,,
2,F,5,twelve.six,50,50 ppm,0,F5,0.067,,
2,G,5,control,5,5 ppm,0,G5,0.066,,
2,H,5,control,50,50 ppm,0,H5,0.061,,
2,A,6,control,0,0 ppm,0,A6,0.062,,
2,B,6,control,0.5,0.5 ppm,0,B6,0.067,,
2,C,6,twelve.six,0,0 ppm,0,C6,0.067,,
2,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.07,,
2,E,6,twelve.six,5,5 ppm,0,E6,0.067,,
2,F,6,twelve.six,50,50 ppm,0,F6,0.069,,
2,G,6,control,5,5 ppm,0,G6,0.065,,
2,H,6,control,50,50 ppm,0,H6,0.061,,
2,A,7,control,0,0 ppm,0,A7,0.062,,
2,B,7,control,0.5,0.5 ppm,0,B7,0.069,,
2,C,7,twelve.six,0,0 ppm,0,C7,0.067,,
2,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.072,,
2,E,7,twelve.six,5,5 ppm,0,E7,0.07,,
2,F,7,twelve.six,50,50 ppm,0,F7,0.065,,
2,G,7,control,5,5 ppm,0,G7,0.065,,
2,H,7,control,50,50 ppm,0,H7,0.06,,
2,A,8,control,0,0 ppm,0,A8,0.065,,
2,B,8,control,0.5,0.5 ppm,0,B8,0.07,,
2,C,8,twelve.six,0,0 ppm,0,C8,0.068,,
2,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.068,,
2,E,8,twelve.six,5,5 ppm,0,E8,0.072,,
2,F,8,twelve.six,50,50 ppm,0,F8,0.07,,
2,G,8,control,5,5 ppm,0,G8,0.066,,
2,H,8,control,50,50 ppm,0,H8,0.065,,
2,A,9,control,0,0 ppm,0,A9,0.062,,
2,B,9,control,0.5,0.5 ppm,0,B9,0.071,,
2,C,9,twelve.six,0,0 ppm,0,C9,0.07,,
2,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.068,,
2,E,9,twelve.six,5,5 ppm,0,E9,0.068,,
2,F,9,twelve.six,50,50 ppm,0,F9,0.065,,
2,G,9,control,5,5 ppm,0,G9,0.066,,
2,H,9,control,50,50 ppm,0,H9,0.062,,
2,A,10,control,0,0 ppm,0,A10,0.061,,
2,B,10,control,0.5,0.5 ppm,0,B10,0.06,,
2,C,10,twelve.six,0,0 ppm,0,C10,0.065,,
2,D,10,twelve.six,0.5,0.5 ppm,0,D10,0.066,,
2,E,10,twelve.six,5,5 ppm,0,E10,0.067,,
2,F,10,twelve.six,50,50 ppm,0,F10,0.065,,
2,G,10,control,5,5 ppm,0,G10,0.066,,
2,H,10,control,50,50 ppm,0,H10,0.063,,
2,A,11,control,0,0 ppm,0,A11,,,
2,B,11,control,0.5,0.5 ppm,0,B11,,,
2,C,11,control,5,5 ppm,0,C11,,,
2,D,11,control,50,50 ppm,0,D11,,,
2,E,11,control,0,0 ppm,0,E11,,,
2,F,11,control,0.5,0.5 ppm,0,F11,,,
2,G,11,control,5,5 ppm,0,G11,,,
2,H,11,control,50,50 ppm,0,H11,,,
2,A,12,control,0,0 ppm,0,A12,,,
2,B,12,control,0.5,0.5 ppm,0,B12,,,
