time,Row,column,strain,anabasine.conc,anabasine,time,sample,a620,a620.a,a620.b
2,C,12,control,5,5 ppm,0,C12,,,
2,D,12,control,50,50 ppm,0,D12,,,
2,E,12,control,0,0 ppm,0,E12,,,
2,F,12,control,0.5,0.5 ppm,0,F12,,,
2,G,12,control,5,5 ppm,0,G12,,,
2,H,12,control,50,50 ppm,0,H12,,,
3,A,1,control,0,0 ppm,0,A1,,,
3,B,1,control,0.5,0.5 ppm,0,B1,,,
3,C,1,control,5,5 ppm,0,C1,,,
3,D,1,control,50,50 ppm,0,D1,,,
3,E,1,control,0,0 ppm,0,E1,,,
3,F,1,control,0.5,0.5 ppm,0,F1,,,
3,G,1,control,5,5 ppm,0,G1,,,
3,H,1,control,50,50 ppm,0,H1,,,
3,A,2,control,0,0 ppm,0,A2,,,
3,B,2,control,0.5,0.5 ppm,0,B2,,,
3,C,2,control,5,5 ppm,0,C2,,,
3,D,2,control,50,50 ppm,0,D2,,,
3,E,2,control,0,0 ppm,0,E2,,,
3,F,2,control,0.5,0.5 ppm,0,F2,,,
3,G,2,control,5,5 ppm,0,G2,,,
3,H,2,control,50,50 ppm,0,H2,,,
3,A,3,control,0,0 ppm,0,A3,0.059,,
3,B,3,control,0.5,0.5 ppm,0,B3,,,
3,C,3,twelve.six,0,0 ppm,0,C3,0.073,,
3,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.074,,
3,E,3,twelve.six,5,5 ppm,0,E3,0.09,,
3,F,3,twelve.six,50,50 ppm,0,F3,0.086,,
3,G,3,control,5,5 ppm,0,G3,0.064,,
3,H,3,control,50,50 ppm,0,H3,0.06,,
3,A,4,control,0,0 ppm,0,A4,0.061,,
3,B,4,control,0.5,0.5 ppm,0,B4,0.063,,
3,C,4,twelve.six,0,0 ppm,0,C4,0.072,,
3,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.074,,
3,E,4,twelve.six,5,5 ppm,0,E4,0.082,,
3,F,4,twelve.six,50,50 ppm,0,F4,0.085,,
3,G,4,control,5,5 ppm,0,G4,0.066,,
3,H,4,control,50,50 ppm,0,H4,0.06,,
3,A,5,control,0,0 ppm,0,A5,0.059,,
3,B,5,control,0.5,0.5 ppm,0,B5,0.064,,
3,C,5,twelve.six,0,0 ppm,0,C5,0.076,,
3,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.073,,
3,E,5,twelve.six,5,5 ppm,0,E5,0.082,,
3,F,5,twelve.six,50,50 ppm,0,F5,0.09,,
3,G,5,control,5,5 ppm,0,G5,0.061,,
3,H,5,control,50,50 ppm,0,H5,0.059,,
3,A,6,control,0,0 ppm,0,A6,0.059,,
3,B,6,control,0.5,0.5 ppm,0,B6,0.062,,
3,C,6,twelve.six,0,0 ppm,0,C6,0.073,,
3,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.077,,
3,E,6,twelve.six,5,5 ppm,0,E6,0.083,,
3,F,6,twelve.six,50,50 ppm,0,F6,0.082,,
3,G,6,control,5,5 ppm,0,G6,0.059,,
3,H,6,control,50,50 ppm,0,H6,0.058,,
3,A,7,control,0,0 ppm,0,A7,0.058,,
3,B,7,control,0.5,0.5 ppm,0,B7,0.064,,
3,C,7,twelve.six,0,0 ppm,0,C7,0.075,,
3,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.077,,
3,E,7,twelve.six,5,5 ppm,0,E7,0.085,,
3,F,7,twelve.six,50,50 ppm,0,F7,0.084,,
3,G,7,control,5,5 ppm,0,G7,0.06,,
3,H,7,control,50,50 ppm,0,H7,0.058,,
3,A,8,control,0,0 ppm,0,A8,0.061,,
3,B,8,control,0.5,0.5 ppm,0,B8,0.065,,
3,C,8,twelve.six,0,0 ppm,0,C8,0.074,,
3,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.077,,
3,E,8,twelve.six,5,5 ppm,0,E8,0.087,,
3,F,8,twelve.six,50,50 ppm,0,F8,0.086,,
3,G,8,control,5,5 ppm,0,G8,0.06,,
3,H,8,control,50,50 ppm,0,H8,0.06,,
3,A,9,control,0,0 ppm,0,A9,0.059,,
3,B,9,control,0.5,0.5 ppm,0,B9,0.064,,
3,C,9,twelve.six,0,0 ppm,0,C9,0.075,,
3,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.075,,
3,E,9,twelve.six,5,5 ppm,0,E9,0.084,,
3,F,9,twelve.six,50,50 ppm,0,F9,0.092,,
3,G,9,control,5,5 ppm,0,G9,0.061,,
3,H,9,control,50,50 ppm,0,H9,0.059,,
3,A,10,control,0,0 ppm,0,A10,0.059,,
3,B,10,control,0.5,0.5 ppm,0,B10,0.057,,
3,C,10,twelve.six,0,0 ppm,0,C10,0.092,,
3,D,10,twelve.six,0.5,0.5 ppm,0,D10,0.078,,
3,E,10,twelve.six,5,5 ppm,0,E10,0.082,,
3,F,10,twelve.six,50,50 ppm,0,F10,0.086,,
3,G,10,control,5,5 ppm,0,G10,0.064,,
3,H,10,control,50,50 ppm,0,H10,0.061,,
3,A,11,control,0,0 ppm,0,A11,,,
3,B,11,control,0.5,0.5 ppm,0,B11,,,
3,C,11,control,5,5 ppm,0,C11,,,
3,D,11,control,50,50 ppm,0,D11,,,
3,E,11,control,0,0 ppm,0,E11,,,
3,F,11,control,0.5,0.5 ppm,0,F11,,,
3,G,11,control,5,5 ppm,0,G11,,,
3,H,11,control,50,50 ppm,0,H11,,,
3,A,12,control,0,0 ppm,0,A12,,,
3,B,12,control,0.5,0.5 ppm,0,B12,,,
3,C,12,control,5,5 ppm,0,C12,,,
3,D,12,control,50,50 ppm,0,D12,,,
3,E,12,control,0,0 ppm,0,E12,,,
3,F,12,control,0.5,0.5 ppm,0,F12,,,
3,G,12,control,5,5 ppm,0,G12,,,
3,H,12,control,50,50 ppm,0,H12,,,
4,A,1,control,0,0 ppm,0,A1,,,
4,B,1,control,0.5,0.5 ppm,0,B1,,,
4,C,1,control,5,5 ppm,0,C1,,,
4,D,1,control,50,50 ppm,0,D1,,,
4,E,1,control,0,0 ppm,0,E1,,,
4,F,1,control,0.5,0.5 ppm,0,F1,,,
4,G,1,control,5,5 ppm,0,G1,,,
4,H,1,control,50,50 ppm,0,H1,,,
4,A,2,control,0,0 ppm,0,A2,,,
4,B,2,control,0.5,0.5 ppm,0,B2,,,
4,C,2,control,5,5 ppm,0,C2,,,
4,D,2,control,50,50 ppm,0,D2,,,
4,E,2,control,0,0 ppm,0,E2,,,
4,F,2,control,0.5,0.5 ppm,0,F2,,,
4,G,2,control,5,5 ppm,0,G2,,,
4,H,2,control,50,50 ppm,0,H2,,,
4,A,3,control,0,0 ppm,0,A3,0.06,0.06,0.06
4,B,3,control,0.5,0.5 ppm,0,B3,,0.212,0.199
4,C,3,twelve.six,0,0 ppm,0,C3,0.136,0.138,0.134
4,D,3,twelve.six,0.5,0.5 ppm,0,D3,0.1265,0.128,0.125
4,E,3,twelve.six,5,5 ppm,0,E3,0.143,0.143,0.143
4,F,3,twelve.six,50,50 ppm,0,F3,0.14,0.14,0.14
4,G,3,control,5,5 ppm,0,G3,0.063,0.063,0.063
4,H,3,control,50,50 ppm,0,H3,0.06,0.06,0.06
4,A,4,control,0,0 ppm,0,A4,,0.157,0.158
4,B,4,control,0.5,0.5 ppm,0,B4,0.0615,0.062,0.061
4,C,4,twelve.six,0,0 ppm,0,C4,0.142,0.143,0.141
4,D,4,twelve.six,0.5,0.5 ppm,0,D4,0.13,0.132,0.128
4,E,4,twelve.six,5,5 ppm,0,E4,0.134,0.134,0.134
4,F,4,twelve.six,50,50 ppm,0,F4,0.1335,0.132,0.135
4,G,4,control,5,5 ppm,0,G4,0.0635,0.064,0.063
4,H,4,control,50,50 ppm,0,H4,0.06,0.06,0.06
4,A,5,control,0,0 ppm,0,A5,0.061,0.061,0.061
4,B,5,control,0.5,0.5 ppm,0,B5,0.063,0.063,0.063
4,C,5,twelve.six,0,0 ppm,0,C5,0.1415,0.146,0.137
4,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.126,0.128,0.124
4,E,5,twelve.six,5,5 ppm,0,E5,0.13,0.129,0.131
4,F,5,twelve.six,50,50 ppm,0,F5,0.146,0.145,0.147
4,G,5,control,5,5 ppm,0,G5,0.0595,0.06,0.059
4,H,5,control,50,50 ppm,0,H5,0.059,0.059,0.059
4,A,6,control,0,0 ppm,0,A6,0.0605,0.061,0.06
4,B,6,control,0.5,0.5 ppm,0,B6,0.059,0.059,0.059
4,C,6,twelve.six,0,0 ppm,0,C6,0.112,0.112,0.112
4,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.1165,0.116,0.117
4,E,6,twelve.six,5,5 ppm,0,E6,0.1295,0.129,0.13
4,F,6,twelve.six,50,50 ppm,0,F6,0.134,0.133,0.135
4,G,6,control,5,5 ppm,0,G6,0.0585,0.059,0.058
4,H,6,control,50,50 ppm,0,H6,0.058,0.058,0.058
4,A,7,control,0,0 ppm,0,A7,0.0605,0.061,0.06
4,B,7,control,0.5,0.5 ppm,0,B7,0.0625,0.063,0.062
4,C,7,twelve.six,0,0 ppm,0,C7,0.1135,0.113,0.114
4,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.1175,0.117,0.118
4,E,7,twelve.six,5,5 ppm,0,E7,0.1295,0.129,0.13
4,F,7,twelve.six,50,50 ppm,0,F7,0.133,0.132,0.134
4,G,7,control,5,5 ppm,0,G7,0.0595,0.06,0.059
4,H,7,control,50,50 ppm,0,H7,0.057,0.057,0.057
4,A,8,control,0,0 ppm,0,A8,0.062,0.062,0.062
4,B,8,control,0.5,0.5 ppm,0,B8,0.065,0.066,0.064
4,C,8,twelve.six,0,0 ppm,0,C8,0.1155,0.115,0.116
4,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.12,0.12,0.12
4,E,8,twelve.six,5,5 ppm,0,E8,0.1295,0.13,0.129
4,F,8,twelve.six,50,50 ppm,0,F8,0.135,0.134,0.136
4,G,8,control,5,5 ppm,0,G8,0.0595,0.06,0.059
4,H,8,control,50,50 ppm,0,H8,0.06,0.06,0.06
4,A,9,control,0,0 ppm,0,A9,0.0595,0.06,0.059
4,B,9,control,0.5,0.5 ppm,0,B9,0.0705,0.071,0.07
4,C,9,twelve.six,0,0 ppm,0,C9,0.1205,0.12,0.121
4,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.1165,0.116,0.117
4,E,9,twelve.six,5,5 ppm,0,E9,0.1275,0.127,0.128
4,F,9,twelve.six,50,50 ppm,0,F9,0.152,0.151,0.153
4,G,9,control,5,5 ppm,0,G9,0.0605,0.061,0.06
4,H,9,control,50,50 ppm,0,H9,0.0585,0.058,0.059
4,A,10,control,0,0 ppm,0,A10,0.062,0.062,0.062
4,B,10,control,0.5,0.5 ppm,0,B10,0.057,0.057,0.057
4,C,10,twelve.six,0,0 ppm,0,C10,0.1145,0.114,0.115
4,D,10,twelve.six,0.5,0.5 ppm,0,D10,0.112,0.111,0.113
4,E,10,twelve.six,5,5 ppm,0,E10,0.128,0.127,0.129
4,F,10,twelve.six,50,50 ppm,0,F10,0.1335,0.132,0.135
4,G,10,control,5,5 ppm,0,G10,0.0625,0.063,0.062
4,H,10,control,50,50 ppm,0,H10,0.0595,0.059,0.06
4,A,11,control,0,0 ppm,0,A11,,,
4,B,11,control,0.5,0.5 ppm,0,B11,,,
4,C,11,control,5,5 ppm,0,C11,,,
4,D,11,control,50,50 ppm,0,D11,,,
4,E,11,control,0,0 ppm,0,E11,,,
4,F,11,control,0.5,0.5 ppm,0,F11,,,
4,G,11,control,5,5 ppm,0,G11,,,
4,H,11,control,50,50 ppm,0,H11,,,
4,A,12,control,0,0 ppm,0,A12,,,
4,B,12,control,0.5,0.5 ppm,0,B12,,,
4,C,12,control,5,5 ppm,0,C12,,,
4,D,12,control,50,50 ppm,0,D12,,,
4,E,12,control,0,0 ppm,0,E12,,,
4,F,12,control,0.5,0.5 ppm,0,F12,,,
4,G,12,control,5,5 ppm,0,G12,,,
4,H,12,control,50,50 ppm,0,H12,,,
5,A,1,control,0,0 ppm,0,A1,,,
5,B,1,control,0.5,0.5 ppm,0,B1,,,
5,C,1,control,5,5 ppm,0,C1,,,
5,D,1,control,50,50 ppm,0,D1,,,
5,E,1,control,0,0 ppm,0,E1,,,
5,F,1,control,0.5,0.5 ppm,0,F1,,,
5,G,1,control,5,5 ppm,0,G1,,,
5,H,1,control,50,50 ppm,0,H1,,,
5,A,2,control,0,0 ppm,0,A2,,,
5,B,2,control,0.5,0.5 ppm,0,B2,,,
5,C,2,control,5,5 ppm,0,C2,,,
5,D,2,control,50,50 ppm,0,D2,,,
5,E,2,control,0,0 ppm,0,E2,,,
5,F,2,control,0.5,0.5 ppm,0,F2,,,
5,G,2,control,5,5 ppm,0,G2,,,
5,H,2,control,50,50 ppm,0,H2,,,
5,A,3,control,0,0 ppm,0,A3,,,
5,B,3,control,0.5,0.5 ppm,0,B3,,,
5,C,3,twelve.six,0,0 ppm,0,C3,,,
5,D,3,twelve.six,0.5,0.5 ppm,0,D3,,,
5,E,3,twelve.six,5,5 ppm,0,E3,,,
5,F,3,twelve.six,50,50 ppm,0,F3,,,
5,G,3,control,5,5 ppm,0,G3,,,
5,H,3,control,50,50 ppm,0,H3,,,
5,A,4,control,0,0 ppm,0,A4,,,
5,B,4,control,0.5,0.5 ppm,0,B4,,,
5,C,4,twelve.six,0,0 ppm,0,C4,,,
5,D,4,twelve.six,0.5,0.5 ppm,0,D4,,,
5,E,4,twelve.six,5,5 ppm,0,E4,,,
5,F,4,twelve.six,50,50 ppm,0,F4,,,
5,G,4,control,5,5 ppm,0,G4,,,
5,H,4,control,50,50 ppm,0,H4,,,
5,A,5,control,0,0 ppm,0,A5,,,
5,B,5,control,0.5,0.5 ppm,0,B5,,,
5,C,5,twelve.six,0,0 ppm,0,C5,,,
5,D,5,twelve.six,0.5,0.5 ppm,0,D5,,,
5,E,5,twelve.six,5,5 ppm,0,E5,,,
5,F,5,twelve.six,50,50 ppm,0,F5,,,
5,G,5,control,5,5 ppm,0,G5,,,
5,H,5,control,50,50 ppm,0,H5,,,
5,A,6,control,0,0 ppm,0,A6,,,
5,B,6,control,0.5,0.5 ppm,0,B6,,,
5,C,6,twelve.six,0,0 ppm,0,C6,,,
5,D,6,twelve.six,0.5,0.5 ppm,0,D6,,,
5,E,6,twelve.six,5,5 ppm,0,E6,,,
5,F,6,twelve.six,50,50 ppm,0,F6,,,
5,G,6,control,5,5 ppm,0,G6,,,
5,H,6,control,50,50 ppm,0,H6,,,
5,A,7,control,0,0 ppm,0,A7,,,
5,B,7,control,0.5,0.5 ppm,0,B7,,,
5,C,7,twelve.six,0,0 ppm,0,C7,,,
5,D,7,twelve.six,0.5,0.5 ppm,0,D7,,,
5,E,7,twelve.six,5,5 ppm,0,E7,,,
5,F,7,twelve.six,50,50 ppm,0,F7,,,
5,G,7,control,5,5 ppm,0,G7,,,
5,H,7,control,50,50 ppm,0,H7,,,
5,A,8,control,0,0 ppm,0,A8,,,
5,B,8,control,0.5,0.5 ppm,0,B8,,,
5,C,8,twelve.six,0,0 ppm,0,C8,,,
5,D,8,twelve.six,0.5,0.5 ppm,0,D8,,,
5,E,8,twelve.six,5,5 ppm,0,E8,,,
5,F,8,twelve.six,50,50 ppm,0,F8,,,
5,G,8,control,5,5 ppm,0,G8,,,
5,H,8,control,50,50 ppm,0,H8,,,
5,A,9,control,0,0 ppm,0,A9,,,
5,B,9,control,0.5,0.5 ppm,0,B9,,,
5,C,9,twelve.six,0,0 ppm,0,C9,,,
5,D,9,twelve.six,0.5,0.5 ppm,0,D9,,,
5,E,9,twelve.six,5,5 ppm,0,E9,,,
5,F,9,twelve.six,50,50 ppm,0,F9,,,
5,G,9,control,5,5 ppm,0,G9,,,
5,H,9,control,50,50 ppm,0,H9,,,
5,A,10,control,0,0 ppm,0,A10,,,
5,B,10,control,0.5,0.5 ppm,0,B10,,,
5,C,10,twelve.six,0,0 ppm,0,C10,,,
5,D,10,twelve.six,0.5,0.5 ppm,0,D10,,,
5,E,10,twelve.six,5,5 ppm,0,E10,,,
5,F,10,twelve.six,50,50 ppm,0,F10,,,
5,G,10,control,5,5 ppm,0,G10,,,
5,H,10,control,50,50 ppm,0,H10,,,
5,A,11,control,0,0 ppm,0,A11,,,
5,B,11,control,0.5,0.5 ppm,0,B11,,,
5,C,11,control,5,5 ppm,0,C11,,,
5,D,11,control,50,50 ppm,0,D11,,,
5,E,11,control,0,0 ppm,0,E11,,,
5,F,11,control,0.5,0.5 ppm,0,F11,,,
5,G,11,control,5,5 ppm,0,G11,,,
5,H,11,control,50,50 ppm,0,H11,,,
5,A,12,control,0,0 ppm,0,A12,,,
5,B,12,control,0.5,0.5 ppm,0,B12,,,
5,C,12,control,5,5 ppm,0,C12,,,
5,D,12,control,50,50 ppm,0,D12,,,
5,E,12,control,0,0 ppm,0,E12,,,
5,F,12,control,0.5,0.5 ppm,0,F12,,,
5,G,12,control,5,5 ppm,0,G12,,,
5,H,12,control,50,50 ppm,0,H12,,,
